nom,SIREN,type,code_region,code_departement
CC Marches du Velay-Rochebaron,200073427,CC,84,43
CC Maremne Adour Côte Sud,244000865,CC,75,40
CC Maurienne Galibier,247300452,CC,84,73
CC Mayenne Communauté,200055887,CC,52,53
CC Méditerranée Porte des Maures,200027100,CC,93,83
CC Médoc Atlantique,200070720,CC,75,33
CC Médoc Cœur de Presqu'île,200069995,CC,75,33
CC Médoc Estuaire,243301447,CC,75,33
CC Médullienne,243301389,CC,75,33
CC Mellois-en-Poitou,200069755,CC,75,79
"CC Meurthe,Mortagne,Moselle",200067643,CC,44,54
CC Meuse Rognon,200069664,CC,44,52
CC Mézenc-Loire-Meygal,200073401,CC,84,43
CC Midi Corrézien,200066769,CC,75,19
CC Mirebellois et Fontenois,200072825,CC,27,21
CC Mond'Arverne Communauté,200069177,CC,84,63
CC Mont Lozère,200069128,CC,76,
CC Montfort Communauté,243500550,CC,53,35
CC Monts d'Arrée Communauté,200067197,CC,53,29
"CC Monts,Rance et Rougier",200067163,CC,76,12
CC Moret Seine et Loing,247700032,CC,11,77
CC Morvan Sommets et Grands Lacs,200067890,CC,27,58
CC Moselle et Madon,245400171,CC,44,54
CC Nebbiu - Conca d'Oro,200073120,CC,94,
CC Neste Barousse,200070829,CC,76,65
CC Nièvre et Somme,200071223,CC,32,80
CC Norge et Tille,200069540,CC,27,21
CC Normandie-Cabourg-Pays d'Auge,200065563,CC,28,14
CC Océan Marais de Monts,248500258,CC,52,85
CC Orée de Bercé - Belinois,247200447,CC,52,72
CC Orne Lorraine Confluences,200070845,CC,44,54
CC Osartis Marquion,200044048,CC,32,62
CC Ouche et Montagne,200039055,CC,27,21
CC Ouest Aveyron Communauté,200069383,CC,76,
CC Ouest Limousin,200066520,CC,75,87
CC Pasquale Paoli,200073138,CC,94,
CC Pays d'Apt-Luberon,200040624,CC,93,
CC Pays d'Évian Vallée d'Abondance,200071967,CC,84,74
CC Pays d'Opale,200072478,CC,32,62
CC Pays d'Orthe et Arrigans,200069417,CC,75,40
CC Pays d'Uzès,200034379,CC,76,30
CC Pays de Chantonnay,248500340,CC,52,85
CC Pays de Châteaugiron Communauté,243500659,CC,53,35
CC Pays de Fontenay-Vendée,200071934,CC,52,85
CC Pays de Montereau,247700107,CC,11,77
CC Pays de Nay,246401756,CC,,
CC Pays de Nemours,200023240,CC,11,77
CC Pays de Nérondes,200007177,CC,24,18
CC Pays de Nexon Monts de Chalus,200070506,CC,75,87
CC Pays des Vans en Cévennes,200039832,CC,84,7
CC Pays du Mont-Blanc,200034882,CC,84,74
CC Pays Forcalquier et Montagne de Lure,240400440,CC,93,4
CC Pays Fort Sancerrois Val de Loire,200069227,CC,24,18
CC Pays Rhin - Brisach,200066025,CC,44,68
CC Pays Ségali Communauté,200068831,CC,76,12
CC Périgord-Limousin,242400752,CC,75,24
CC Perthois-Bocage et Der,200042992,CC,44,51
CC Pévèle-Carembault,200041960,CC,32,59
CC Picardie des Châteaux,200071769,CC,32,2
CC Piège Lauragais Malepère,200035707,CC,76,11
CC Plaine Limagne,200071199,CC,84,63
CC Plaines et Monts de France,200033090,CC,11,77
CC Plateau de Caux-Doudeville-Yerville,200069847,CC,28,76
CC Pleyben-Châteaulin-Porzay,200067247,CC,53,29
CC Ploërmel Communauté,200066777,CC,53,56
CC Poher communauté,242900744,CC,53,
CC Ponthieu-Marquenterre,200070936,CC,32,80
CC Pontivy Communauté,245614433,CC,53,
CC Porte d'Aquitaine en Pays de Serres,200036572,CC,75,47
CC Porte de Drômardèche,200040491,CC,84,
CC Porte de Maurienne,247300676,CC,84,73
CC Porte du Jura,200072056,CC,27,39
CC Porte Océane du Limousin,200059400,CC,75,87
CC Portes de la Creuse en Marche,200041556,CC,75,23
CC Portes du Berry entre Loire et Val d'Aubois,200011781,CC,24,18
CC Pré-Bocage Intercom,200069524,CC,28,14
CC Presqu'île de Crozon-Aulne maritime,200066868,CC,53,29
CC Provence Verdon,200040202,CC,93,83
CC Pyrénées Audoises,200043776,CC,76,11
CC Pyrénées catalanes,246600464,CC,76,66
CC Pyrénées Cerdagne,246600399,CC,76,66
CC Pyrénées Haut Garonnaises,200072635,CC,76,31
CC Pyrénées Vallées des Gaves,200070811,CC,76,65
CC Quercy - Bouriane,244600482,CC,76,46
CC Quercy Vert-Aveyron,200066884,CC,76,82
CC Questembert Communauté,245614383,CC,53,56
CC Rahin et Chérimont,247000821,CC,27,70
CC Randon - Margeride,200069102,CC,76,48
"CC Région Lézignanaise,Corbières et Minervois",200035863,CC,76,11
CC Retz-en-Valois,200071991,CC,32,2
CC Rhône Crussol,200041366,CC,84,7
CC Rhône Lez Provence,200000628,CC,93,84
"CC Rhony,Vistre,Vidourle",243000569,CC,76,30
CC Rives de l'Ain - Pays du Cerdon,200029999,CC,84,1
CC Rives de Moselle,200039949,CC,44,57
CC Rives de Saône,242101509,CC,27,21
CC Roche aux Fées Communauté,243500634,CC,53,35
CC Roi Morvan Communauté,245614417,CC,53,56
CC Roumois Seine,200066405,CC,28,
CC Roussillon-Conflent,246600415,CC,76,66
CC Rumilly Terre de Savoie,247400740,CC,84,74
CC Rurales de l'Entre-deux-Mers,200069599,CC,75,33
CC Saint-Flour Communauté,200066660,CC,84,15
CC Saint-Marcellin Vercors Isère Communauté,200070431,CC,84,38
CC Saint-Pourçain Sioule Limagne,200071389,CC,84,3
"CC Saint Affricain,Roquefort,Sept Vallons",200067155,CC,76,12
CC Saint Cyr Mère Boitier entre Charolais et Mâconnais,200071645,CC,27,71
CC Saône-Beaujolais,200067817,CC,84,69
CC Saône Doubs Bresse,200040038,CC,27,71
CC Sarlat-Périgord Noir,200027217,CC,75,24
CC Sarrebourg Moselle Sud,200068146,CC,44,57
CC Sauer-Pechelbronn,200013050,CC,44,67
CC Sauldre et Sologne,200000933,CC,24,18
CC Sausseron Impressionnistes,249500430,CC,11,95
CC Seine et Aube,200070126,CC,44,10
CC Senlis Sud Oise,200066975,CC,32,60
CC Serein et Armance,200067304,CC,27,89
CC Serre-Ponçon,200067742,CC,93,
CC Serre-Ponçon Val d'Avance,200067320,CC,93,
CC Seulles Terre et Mer,200069516,CC,28,14
CC Sèvre et Loire,200067866,CC,52,44
CC Sidobre Vals et Plateaux,200066561,CC,76,81
CC Somme Sud-Ouest,200071181,CC,32,80
CC Spelunca-Liamone,200067049,CC,94,
CC Sud-Hérault,200042653,CC,76,34
CC Sud-Roussillon,246600282,CC,76,66
CC Sud Alsace Largue,200066033,CC,44,68
CC Sud Côte Chalonnaise,247104094,CC,27,71
CC Sud Nivernais,200067700,CC,27,58
CC Sud Retz Atlantique,200071546,CC,52,44
CC Sud Sarthe,200073112,CC,52,72
CC Sud Vendée Littoral,200073260,CC,52,85
CC Sumène - Artense,241501055,CC,84,15
CC Sundgau,200066041,CC,44,68
CC Tannay-Brinon-Corbigny,200067692,CC,27,58
CC Tarn-Agout,200034023,CC,76,
CC Terre d'Auge,241400878,CC,28,14
CC Terre d'Eau,200068682,CC,44,88
CC Terre de Camargue,243000650,CC,76,30
CC Terre de Picardie,200070928,CC,32,80
CC Terre Lorraine du Longuyonnais,200043693,CC,44,54
"CC Terres-de-Montaigu,communauté de communes Montaigu-Rocheservière",200070233,CC,52,85
CC Terres de Bresse,200071538,CC,27,71
CC Terres de Chalosse,200069631,CC,75,40
CC Terres de Perche,200070167,CC,24,28
CC Terres de Saône,200041879,CC,27,70
CC Terres des Confluences,200066322,CC,76,82
CC Terres du Haut Berry,200066330,CC,24,18
CC Terres Touloises,200070563,CC,44,54
CC Territoriale Sud-Luberon,248400285,CC,93,84
CC Terroir de Caux,200068534,CC,28,76
CC Thelloise,200067973,CC,32,60
CC Thiérache Sambre et Oise,200071983,CC,32,2
CC Thiers Dore et Montagne,200070712,CC,84,63
CC Thoré Montagne Noire,248100745,CC,76,81
CC Tille et Venelle,200070910,CC,27,21
CC Touraine-Est Vallées,200073161,CC,24,37
CC Touraine Ouest Val de Loire,200072981,CC,24,37
CC Touraine Val de Vienne,200072668,CC,24,37
CC Touraine Vallée de l'Indre,200072650,CC,24,37
CC Usses et Rhône,200070852,CC,84,
CC Vaison Ventoux,248400335,CC,,
CC Val-de-Cher-Controis,200072064,CC,24,41
CC Val 81,248100497,CC,76,81
CC Val Briard,200072874,CC,11,77
CC Val de Charente,200043016,CC,75,16
CC Val de Gâtine,200069748,CC,75,79
CC Val de Gers,200072320,CC,76,32
CC Val de Gray,200036549,CC,27,70
CC Val de l'Indre - Brenne,243600301,CC,24,36
CC Val de Ligne,240700617,CC,84,7
CC Val de Meuse - Voie Sacrée,200066165,CC,44,55
CC Val de Saône Centre,200070118,CC,84,1
CC Val ès Dunes,200065589,CC,28,14
CC Val Eyrieux,200041465,CC,84,7
CC Val Guiers,247300528,CC,84,73
CC Val Vanoise,200040798,CC,84,73
CC Vallée de l'Hérault,243400694,CC,76,34
CC Vallée de l'Ubaye - Serre-Ponçon,200072304,CC,93,4
CC Vallée de la Dordogne et Forêt Bessède,200041051,CC,75,24
CC Vallée des Baux-Alpilles (CC VBA),241300375,CC,93,13
CC Vallées de l'Orne et de l'Odon,200066728,CC,28,14
CC Vallées et Plateau d'Ardenne,200067759,CC,44,8
CC Vallons de Haute-Bretagne Communauté,200043990,CC,53,35
CC Vendée Grand Littoral,200071900,CC,52,85
"CC Vendée,Sèvre,Autise",248500563,CC,52,85
CC Ventoux Sud,200035723,CC,,
CC Vexin Centre,200035970,CC,11,95
CC Vézère-Monédières-Millesources,200066645,CC,75,19
CC Vienne et Gartempe,200070043,CC,75,86
CC Vierzon-Sologne-Berry et Villages de la Forêt,200090561,CC,24,18
CC Xaintrie Val'Dordogne,200066751,CC,75,19
CC Yonne Nord,248900896,CC,27,89
CC Yvetot Normandie,247600620,CC,28,76
Clermont Auvergne Métropole,246300701,MET,84,63
CU Angers Loire Métropole,244900015,CU,52,49
CU Caen la Mer,200065597,CU,28,14
CU d'Alençon,246100663,CU,,
CU d'Arras,200033579,CU,32,62
CU de Dunkerque,245900428,CU,32,59
CU du Grand Besançon Métropole,242500361,CU,27,25
CU du Grand Poitiers,200069854,CU,75,86
CU du Grand Reims,200067213,CU,44,51
CU du Havre Seine Métropole,200084952,CU,28,76
CU Grand Paris Seine et Oise,200059889,CU,11,78
CU Le Creusot Montceau-les-Mines,247100290,CU,27,71
CU Le Mans Métropole,247200132,CU,52,72
CU Limoges Métropole,248719312,CU,75,87
CU Perpignan Méditerranée Métropole,200027183,CU,76,66
Dijon Métropole,242100410,MET,27,21
Est Ensemble,200057875,EPT,11,93
Eurométropole de Strasbourg,246700488,MET,44,67
Grand-Orly Seine Bièvre,200058014,EPT,11,94
Grand Paris - Grand Est,200058790,EPT,11,93
Grand Paris Seine Ouest,200057974,EPT,11,92
Grand Paris Sud Est Avenir,200058006,EPT,11,94
Grenoble-Alpes-Métropole,200040715,MET,84,38
Métropole d'Aix-Marseille-Provence,200054807,MET,93,
Métropole de Lyon,200046977,MET,84,69
Métropole du Grand Nancy,245400676,MET,44,54
Métropole du Grand Paris,200054781,MET,11,
Métropole Européenne de Lille,200093201,MET,32,59
Métropole Nice Côte d'Azur,200030195,MET,93,6
Métropole Rouen Normandie,200023414,MET,28,76
Métropole Toulon-Provence-Méditerranée,248300543,MET,93,83
Metz Métropole,200039865,MET,44,57
Montpellier Méditerranée Métropole,243400017,MET,76,34
Nantes Métropole,244400404,MET,52,44
Orléans Métropole,244500468,MET,24,45
Paris-Est-Marne et Bois,200057941,EPT,11,94
Paris Ouest La Défense,200057982,EPT,11,92
Paris Terres d'Envol,200058097,EPT,11,93
Plaine Commune,200057867,EPT,11,93
Rennes Métropole,243500139,MET,53,35
Saint-Etienne Métropole,244200770,MET,84,42
Toulouse Métropole,243100518,MET,76,31
Tours Métropole Val de Loire,243700754,MET,24,37
Vallée Sud Grand Paris,200057966,EPT,11,92
